year_film,category,movie_title,nominee,oscwin,ggwin,guildwin,sagwin,bawin,tomatometer_rating,tomatometer_status,genre,metascore,numnom
1944,cinematography,double indemnity,double indemnity,0,0,0,0,0,97.0,certified fresh,"['drama', 'mystery', 'thriller', 'crime', 'film-noir']",95.0,6
1944,cinematography,going my way,going my way,0,0,0,0,0,80.0,fresh,none,80.0,8
1944,cinematography,laura,laura,1,0,0,0,0,100.0,certified fresh,none,100.0,5
1944,cinematography,lifeboat,lifeboat,0,0,0,0,0,92.0,fresh,"['drama', 'war']",78.0,3
1944,director,double indemnity,double indemnity,0,0,0,0,0,97.0,certified fresh,"['drama', 'mystery', 'thriller', 'crime', 'film-noir']",95.0,6
1944,director,going my way,going my way,1,1,0,0,0,80.0,fresh,none,80.0,8
1944,director,laura,laura,0,0,0,0,0,100.0,certified fresh,none,100.0,5
1944,director,lifeboat,lifeboat,0,0,0,0,0,92.0,fresh,"['drama', 'war']",78.0,3
1944,score,double indemnity,double indemnity,0,0,0,0,0,97.0,certified fresh,"['drama', 'mystery', 'thriller', 'crime', 'film-noir']",95.0,6
1944,picture,double indemnity,double indemnity,0,0,0,0,0,97.0,certified fresh,"['drama', 'mystery', 'thriller', 'crime', 'film-noir']",95.0,6
1944,picture,going my way,going my way,1,1,0,0,0,80.0,fresh,none,80.0,8
1944,screenplay,going my way,going my way,1,0,0,0,0,80.0,fresh,none,80.0,8
1944,screenplay,lifeboat,lifeboat,0,0,0,0,0,92.0,fresh,"['drama', 'war']",78.0,3
1944,screenplay,double indemnity,double indemnity,0,0,0,0,0,97.0,certified fresh,"['drama', 'mystery', 'thriller', 'crime', 'film-noir']",95.0,6
1944,screenplay,going my way,going my way,1,0,0,0,0,80.0,fresh,none,80.0,8
1944,screenplay,laura,laura,0,0,0,0,0,100.0,certified fresh,none,100.0,5
1945,actor,the lost weekend,ray milland,1,1,0,0,0,100.0,fresh,none,100.0,6
1945,actress,mildred pierce,joan crawford,1,0,0,0,0,86.0,certified fresh,none,86.0,6
1945,supporting actress,mildred pierce,eve arden,0,0,0,0,0,86.0,certified fresh,none,86.0,6
1945,supporting actress,mildred pierce,ann blyth,0,0,0,0,0,86.0,certified fresh,none,86.0,6
1945,cinematography,the lost weekend,the lost weekend,0,0,0,0,0,100.0,fresh,none,100.0,6
1945,cinematography,mildred pierce,mildred pierce,0,0,0,0,0,86.0,certified fresh,none,86.0,6
1945,director,the lost weekend,the lost weekend,1,1,0,0,0,100.0,fresh,none,100.0,6
1945,score,the lost weekend,the lost weekend,0,0,0,0,0,100.0,fresh,none,100.0,6
1945,picture,the lost weekend,the lost weekend,1,1,0,0,0,100.0,fresh,none,100.0,6
1945,picture,mildred pierce,mildred pierce,0,0,0,0,0,86.0,certified fresh,none,86.0,6
1945,screenplay,the lost weekend,the lost weekend,1,0,0,0,0,100.0,fresh,none,100.0,6
1945,screenplay,mildred pierce,mildred pierce,0,0,0,0,0,86.0,certified fresh,none,86.0,6
1946,actor,the best years of our lives,fredric march,1,0,0,0,0,96.0,certified fresh,"['drama', 'romance', 'war']",92.0,6
1946,supporting actor,notorious,claude rains,0,0,0,0,0,100.0,False,"['drama', 'thriller', 'romance', 'film-noir']",100.0,2
1946,supporting actor,the best years of our lives,harold russell,1,0,0,0,0,96.0,certified fresh,"['drama', 'romance', 'war']",92.0,6
1946,director,the best years of our lives,the best years of our lives,1,0,0,0,0,96.0,certified fresh,"['drama', 'romance', 'war']",92.0,6
1946,score,the best years of our lives,the best years of our lives,1,0,0,0,0,96.0,certified fresh,"['drama', 'romance', 'war']",92.0,6
1946,picture,the best years of our lives,the best years of our lives,1,1,0,0,0,96.0,certified fresh,"['drama', 'romance', 'war']",92.0,6
